season,episode,scene,emotion,text,start,end,notes
S2,08,车祸真相,崩溃,我不明白为什么,21:34.500,21:38.200,雪乃被八幡戳穿后的颤抖
S2,08,车祸真相,否认,我不依赖任何人,21:45.000,21:48.500,核心恐惧暴露
S2,13,真物宣言,绝望,只是伪物,18:22.100,18:26.800,存在性危机
S2,13,真物宣言,自我否定,什么都不创造,18:30.000,18:35.500,孤独独白
S3,08,阳乃对峙,被戳穿,你在模仿我,15:10.200,15:14.600,存在性恐惧
S3,08,阳乃对峙,空洞,我不可爱,15:45.000,15:48.300,自我认知崩塌
S3,12,天桥告白,颤抖,扭曲你人生,22:05.000,22:10.500,情绪爆发
S3,12,最终回应,温柔坚定,托付给我,22:45.000,22:50.200,真物确立
S1,01,侍奉部初遇,毒舌,你腐烂了,08:15.000,08:19.500,声线基准
S1,01,侍奉部初遇,防御,我一直很可爱,09:02.000,09:06.800,情绪触发点
S2,03,夜路逃离,孤独,无言逃离,14:20.000,14:25.000,群体审视恐惧
S2,03,夜路羞耻,羞耻,路痴被发现,15:10.000,15:15.500,不完美暴露
S1,05,三浦事件,愤怒,粉碎骄傲,16:40.000,16:45.200,正义感爆发
S2,08,选举事件,抗拒,别擅自决定,19:30.000,19:34.500,被单方面拯救恐惧
